id,pet_common_name,pet_scientific_name,pet_picture,pet_bio
1,American badger,Taxidea taxus,http://dummyimage.com/247x152.bmp/ff4444/ffffff,Suspendisse potenti. Nullam porttitor lacus at turpis.
2,"Crane, sarus",Grus antigone,http://dummyimage.com/165x112.png/cc0000/ffffff,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis."
3,"Wallaroo, common",Macropus robustus,http://dummyimage.com/166x108.png/ff4444/ffffff,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
4,"Raccoon, common",Procyon lotor,http://dummyimage.com/231x197.jpg/dddddd/000000,"Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est."
5,White-mantled colobus,Colobus guerza,http://dummyimage.com/219x101.jpg/ff4444/ffffff,In eleifend quam a odio.
6,Cottonmouth,Agkistrodon piscivorus,http://dummyimage.com/230x162.jpg/dddddd/000000,Cras in purus eu magna vulputate luctus.
7,American crow,Corvus brachyrhynchos,http://dummyimage.com/187x156.jpg/cc0000/ffffff,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti."
8,"Zorro, common",Dusicyon thous,http://dummyimage.com/127x109.jpg/dddddd/000000,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus."
9,"Lion, south american sea",Otaria flavescens,http://dummyimage.com/235x180.jpg/ff4444/ffffff,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim."
10,Sociable weaver,Philetairus socius,http://dummyimage.com/131x208.png/ff4444/ffffff,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
11,Roe deer,Capreolus capreolus,http://dummyimage.com/238x179.jpg/cc0000/ffffff,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
12,Galapagos mockingbird,Nesomimus trifasciatus,http://dummyimage.com/176x187.bmp/cc0000/ffffff,Aenean sit amet justo. Morbi ut odio.
13,Crab-eating fox,Dusicyon thous,http://dummyimage.com/246x146.jpg/dddddd/000000,Ut tellus. Nulla ut erat id mauris vulputate elementum.
14,White-throated toucan,Ramphastos tucanus,http://dummyimage.com/116x125.jpg/ff4444/ffffff,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.
